Process,Periodicity,Status_Today,Status_Legend,Remarks,SourceFile
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Reconciliation_Job,Monthly,OK,nan,12 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
AutomaticDashboard,Monthly,OK,nan,686 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,6 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,6 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,6 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Ratios Job,Monthly,PDTE,nan,68 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Sections Job,Monthly,PDTE,nan,6  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Investment Policy Job Default,Monthly,OK,nan,6 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,664,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Derivative Price Control Process,Daily,OK,nan,664,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:535 N° of TA in MegaCompliance D-1:683,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,765  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -05032025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 10610,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5182,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 51,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 1597,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Reconciliation_Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
AutomaticDashboard,Monthly,OK,nan,670 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Depositary Fees Calculation,Monthly,OK,nan,0  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Management Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Success Fees Calculation,Monthly,PDTE,nan,0  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Ratios Job,Monthly,OK,nan,67 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Sections Job,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Investment Policy Job Default,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Non Derivative Price Control Process,Daily,OK,nan,663,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Derivative Price Control Process,Daily,OK,nan,663,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Fees Reconciliation Job,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
FX Rate Migration,Daily,PDTE,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:29 N° of TA in MegaCompliance D-1:29,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,495  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06012025 - Copy.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 10916,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5272,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 109,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 1968,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Reconciliation_Job,Monthly,OK,nan,7 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
AutomaticDashboard,Monthly,OK,nan,672 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Depositary Fees Calculation,Monthly,OK,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,5  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,5  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Ratios Job,Monthly,OK,nan,70 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Sections Job,Monthly,PDTE,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Investment Policy Job Default,Monthly,OK,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,665,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Derivative Price Control Process,Daily,OK,nan,665,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:74 N° of TA in MegaCompliance D-1:173,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,717  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06022025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11194,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5345,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 560,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2208,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Reconciliation_Job,Monthly,OK,nan,4 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
AutomaticDashboard,Monthly,OK,nan,686 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Management Fees Calculation,Monthly,PDTE,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Success Fees Calculation,Monthly,PDTE,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Ratios Job,Monthly,PDTE,nan,74 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Sections Job,Monthly,PDTE,nan,2  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Investment Policy Job Default,Monthly,OK,nan,6 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Non Derivative Price Control Process,Daily,OK,nan,679,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Derivative Price Control Process,Daily,OK,nan,679,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:60 N° of TA in MegaCompliance D-1:595,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 1 N° of clients in MegaCompliance D-1:1,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,736  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -06032025 .xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 10614,Control de ejecución de WA y procesos diarios - Megacompliance -07012025 - Copy.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5188,Control de ejecución de WA y procesos diarios - Megacompliance -07012025 - Copy.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 23,Control de ejecución de WA y procesos diarios - Megacompliance -07012025 - Copy.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 1627,Control de ejecución de WA y procesos diarios - Megacompliance -07012025 - Copy.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -07012025 - Copy.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -07012025 - Copy.xlsx
Reconciliation_Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -07012025 - Copy.xlsx
AutomaticDashboard,Monthly,OK,nan,670 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -07012025 - Copy.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,0  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -07012025 - Copy.xlsx
Management Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -07012025 - Copy.xlsx
Success Fees Calculation,Monthly,PDTE,nan,0  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -07012025 - Copy.xlsx
